Em relacao a sociedade espartana, assinale a opcao que NAO CORRESPONDE a camada social dos hilotas.;Constituiam a massa de populacao vencida, subjugada e pertencente ao Estado.;Enquanto forca-de-trabalho, eram expropriados pelos espartanos.;Cultivavam a terra com os seus instrumentos de trabalho, pagando uma renda fixa em especie.;Desenvolviam atividades mercantis que lhes possibilitavam acumular pequenas fortunas com as quais compravam titulos de cidadania.;4
A respeito da ÅEgLiga de DelosÅEh, que seria a base do imperialismo ateniense, podemos dizer:;Decorreu da alianca de cidades gregas e persas contra a expansao macedonica.;Pretendia libertar algumas cidades gregas, lideradas pela cidade de Delos, da dominacao espartana.;Surgiu de um processo de sujeicao ou de dominio exercido por Atenas sobre as demais cidades da Liga.;Definia-se, de inicio, como uma alianca militar, que previa autonomia para seus participantes, reservando a Atenas o comando das operacoes.;4
O mundo grego antigo possuia certa unidade religiosa, embora fosse fragmentado politicamente. Essa religiosidade foi marcadamente:;De natureza civica, na medida em que os cidadaos cultuavam os deuses da cidade, com celebracoes festivas e sacrificios, nos altares a eles dedicados.;Acessivel a todas as classes sociais por ter carcateristica familiar e monoteista, com um deus que se manifestava ao povo atraves de revelacao direta e pessoal.;Portadora de uma etica que considerava sagrado o trabalho manual dedicado as divindades, o que permitia enfrentar a rigidez e a monotonia da vida cotidiana.;De carater julgador, colocando os individuos a servico das divindades e punindo os pecados daqueles que desobedeciam aos deuses ou professavam outro cultos.;1
O mundo grego antigo possuia certa unidade religiosa, embora fosse fragmentado politicamente. Essa religiosidade foi marcadamente:;De natureza civica, na medida em que os cidadaos cultuavam os deuses da cidade, com celebracoes festivas e sacrificios, nos altares a eles dedicados.;Acessivel a todas as classes sociais por ter carcateristica familiar e monoteista, com um deus que se manifestava ao povo atraves de revelacao direta e pessoal.;Portadora de uma etica que considerava sagrado o trabalho manual dedicado as divindades, o que permitia enfrentar a rigidez e a monotonia da vida cotidiana.;De carater julgador, colocando os individuos a servico das divindades e punindo os pecados daqueles que desobedeciam aos deuses ou professavam outro cultos.;1
A expansao de Roma durante a Republica, com o consequente dominio da bacia do Mediterraneo, provocou sensiveis transformacoes sociais e economicas, dentre as quais:;fortalecimento da classe plebeia, expansao da pequena propriedade, propagacao do cristianismo.;crescimento da economia agro-pastoril, intensificacao das exportacoes, aumento do trabalho livre.;enriquecimento do Estado romano, aparecimento de uma poderosa classe de comerciantes, aumento do numero de escravos.;diminuicao da producao nos latifundios, acentuado processo inflacionario, escassez de mao-de-obra escrava.;3
As lutas que envolveram patricios e plebeus na Roma antiga foram motivadas principalmente:;pela exclusividade de participacao politica dos plebeus no Senado Romano;pela incapacidade dos plebeus em realizar uma boa administracao publica;pela insistencia dos patricios em promover a paz nas fronteiras do Imperio;pelo desejo dos plebeus em assegurar maior igualdade de direitos com os patricios.;4
Varias razoes explicam as perseguicoes sofridas pelos cristaos no Imperio Romano, entre elas:;a publicacao do Edito de Milao que impediu a legalizacao do Cristianismo e alimentou a repressao.;a formacao de heresias como a do Arianismo, de autoria do bispo Ario, que negava a natureza divina de Cristo.;a oposicao a religiao do Estado Romano e a negacao da origem divina do Imperador, pelos cristaos.;o fortalecimento do Paganismo sob o Imperador Teodesio, que mandou martirizar milhares de cristaos.;3
Entre os anos 509 e 31 a.C. se situa a segunda fase da historia politica de Roma, a Republica, sobre a qual podemos afirmar, corretamente, EXCETO:;possui um carater essencialmente aristocratico;o poder executivo, que antes pertencia ao Rei, passa a ser exercido por dois Consules;o Senado se torna o principal Orgao da Republica, e os membros dele vitalicios;os patricios, desde muito cedo, lutaram pela igualdade de direitos com os plebeus;4
Na Polis grega e no Imperio Romano, o trabalhador escravo esteve na origem das grandes realizacoes, podendo-se afirmar que:;tanto na Grecia como em Roma, eram instrumentos vivos e participavam da vida politica, respectivamente da Bule e do Senado.;o sistema de producao era baseado na forca de trabalho de prisioneiros de guerra ou populacoes escravizadas.;os escravos podiam pertencer exclusivamente aos cidadaos e realizavam assembleias que defendiam seus direitos.;a invasao da Macedonia na Grecia e as guerras de expansao romanas determinaram o fim da escravidao.;2
No contexto do Imperio Romano, no periodo denominado Baixo Imperio, observa-se a decadencia de Roma e a atuacao de Teodesio que, entre outras realizacoes:;criou a tetrarquia e elaborou o Edito do Maximo.;promulgou o Edito de Milao, concessao da cidadania a todos os homens livres do Imperio e organizou um Codigo de Leis.;oficializou o Cristianismo e determinou a divisao do Imperio Romano em Imperio do Oriente e Imperio do Ocidente.;implantou a Pax Romana e deu prosseguimento a perseguicao aos cristaos.;3
Durante a Republica Romana, a conquista da igualdade civil e politica, os tribunos da plebe e a lei das Doze tabuas foram decorrentes:;da marginalizacao politica, discriminacao social e desigualdade economica que afetavam a plebe romana.;do elevado poder do exercito, que para conter a pressao das invasoes barbaras realizou reformas politico-administrativas.;do afluxo de riqueza para Roma devido as conquistas e enfraquecimento da classe equestre.;da elevacao do cristianismo que pregava a igualdade de todos os homens.;1
O Edito de Milao, assinado pelo Imperador romano Constantino em 313d.C., mudou as relacoes entre a Igreja Catolica e o Estado, porque:;conseguiu a submissao dos cristaos ao culto oficial ao Imperador.;proibiu definitivamente a religiao crista em todo o Imperio Romano.;tornou oficial a religiao crista em todo o Imperio Romano.;conduziu a Igreja e o Estado a um acordo, tolerando o cristianismo e a liberdade de culto.;4
Sob os teus olhos, Eneas dirigira rude guerra, aniquilara tribos ferozes, dara aos seus guerreiros muralhas e leis. Depois dele, seu filho Numitor (que se chamara tambem Julio) ira estabelecer o seu trono no rochedo de Alba, que ele cercara de solidas muralhas. A sacerdotisa, de familia real, cara a Marte, tera dois filhos gemeos. O texto de Virgilio trata da fundacao mitica de;Atenas.;Constantinopla.;Cartago.;Roma.;4
Quando, a partir do final do ultimo seculo a.C, Roma conquistou o Egito e areas da Mesopotamia, encontrou nesses territorios uma forte presenca de elementos gregos. Isto foi devido:;Ao recrutamento de soldados gregos pelos monarcas persas e egipcios.;A colonizacao grega, semelhante a realizada na Sicilia e Magna Grecia.;A expansao comercial egipcia no Mediterraneo.;Ao helenismo, resultante das conquistas de Alexandre, o Grande.;4
Considerando a Grecia Antiga, podemos dizer que os gregos constituiram uma cultura, mas nao um Estado. Isto se deve ao fato de:;Possuirem a mesma lingua e habitos identicos, cultuarem os mesmos deuses e preservarem a monarquia como forma de governo.;Apesar de falarem a mesma lingua e adorarem os mesmos deuses, algumas cidades dedicavam-se ao militarismo enquanto outras se preocupavam com o intelecto, caracterizando a autonomia das cidades-estado.;Seu governo oscilar entre o militarismo ateniense e a democracia espartana.;  O governo ter sido direto e nao representativo.;2
No seculo V aC., com o final das Guerras Medicas, estabeleceu-se um periodo de hegemonia de Atenas sobre o mundo grego, em contraposicao a Esparta.Entre os fatores condicionantes dessa hegemonia, NAO se pode apontar;o incremento do poderio das forcas navais atenienses.;a formacao da Confederacao de Delos.;a permanencia das forcas terrestres espartanas no Peloponeso.;a instituicao, por Pericles, de uma tirania aristocratica imperialista em Atenas.;4
Dentre os legados dos gregos da  Antiguidade Classica que se mantem na vida  contemporanea, podemos citar:;a concepcao de democracia com a participacao do voto universal.;a promocao do espirito de confraternizacao por intermedio do esporte e de jogos.;a idealizacao e a valorizacao do trabalho manual em  todas suas dimensoes.; os valores artisticos como expressao do mundo religioso e cristao.;2
Considerando a arte egipcia e grega, na Antiguidade, especialmente a escultura, podemos afirmar corretamente:;O Mediterraneo, situado entre a Europa e a Asia, impediu qualquer influencia artistica entre essas sociedades.;a escultura egipcia configurava uma visao idealizada do homem.;Os egipcios, assim como os gregos, rejeitaram associar a arte as concepcoes religiosas e ao poder.;os egipcios foram professores dos gregos na arte da escultura, fornecendo-lhes a inspiracao e, mais importante, a tecnica.;4