A Revolucao Industrial teve inicio na Inglaterra em meados do seculo XVIII. Qual das alternativas abaixo explica o pioneirismo ingles na Revolucao Industrial?;Presenca de petroleo no territorio, mao-de-obra em abundancia, capital da nobreza para investimentos, presenca de grande quantidade de maquinas importadas da Franca. ;Economia baseada no feudalismo, grande quantidade de artesaos, boas reservas de carvao mineral, contatos comerciais com a India.;Presenca de grandes reservas de carvao mineral e minerio de ferro em seu territorio, mao-de-obra em abundancia,capital da burguesia para investimentos em industrias, mercado consumidor.; Grandes investimentos em transporte maritimo, grandes reservas de petroleo, mao-de-obra estrangeira em abundancia, relacoes comerciais com o Brasil.;3;
Quais os dois tipos de transportes que foram fundamentais para a Revolucao Industrial?;Transporte maritimo (atraves dos navios a vapor) e transporte ferroviario (locomotivas a vapor).;Transporte aereo (avioes e helicopteros) e transporte ferroviario (locomotivas a vapor).;Transporte maritimo (atraves dos navios a vapor) e transporte veicular (automoveis e caminhoes).;Transporte aereo (avioes e helicopteros) e transporte animal (bois, cavalos, etc);1;
Qual das alternativas abaixo aponta uma das principais invencoes que foi fundamental para a Revolucao Industrial?;Telefone;Telegrafo;Calculadora manual;Maquina a vapor;4;
Sobre a condicao de vida dos operarios (trabalhadores das fabricas) na epoca da Revolucao Industrial e correto afirmar que;Tinham apenas ferias remuneradas como direito trabalhista, podiam se organizar livremente em sindicatos, recebiam salarios justos que lhes permitiam viver de forma digna;Eles nao tinham direitos trabalhistas, trabalhavam muito e ganhavam pouco, o ambiente de trabalho apresentava pessimas condicoes;Trabalhavam apenas 5 dias por semana, recebiam varios beneficios trabalhistas, tinham um ambiente de trabalho em boas condicoes;Recebiam salarios baixos, enfrentavam duras jornadas de trabalho, nao apresentavam problemas de saude relacionados ao trabalho;2;
Um dos principais movimentos trabalhistas contra as pessimas condicoes de trabalho na Revolucao Industrial ficou conhecido como Ludismo. Qual das alternativas abaixo explica melhor este movimento?;Os ludistas buscavam negociar melhores condicoes de trabalho com os donos das industrias;Os ludistas protestavam atraves de passeatas e outras manifestacoes pacificas contra as condicoes de trabalho dos operarios;Os ludistas buscavam, atraves das eleicoes, eleger representantes do movimento para lutar pelas causas trabalhistas;Tambem conhecidos como quebradores de maquinas os ludistas invadiam fabricas e quebravam as maquinas numa forma de protesto e revolta com relacao as pessimas condicoes de trabalho enfrentadas pelos operarios;4;
A enclosure ou cercamento:;Eh o processo de extincao dos campos abertos (open fields), provocando o Exodo rural;provocou a substituicao dos grandes dominios rurais pelos pequenos, cuja rentabilidade era maior;implicou uma maior concentracao de mao-de-obra agricola, ao deter a migracao para as cidades;foi um fenomeno exclusivo da Inglaterra, nao aparecendo em nenhum outro pais;1;
A locomotiva a vapor de Stephenson, o telegrafo eletrico de Morse e o processo Bessemer de fabricacao do aco correspondem;A Revolucao Industrial antes de 1760;A Revolucao Industrial entre 1860 e 1900;As inovacoes tecnicas anteriores a 1860;As inovacoes tecnicas posteriores a 1860;3;
Para ele, os fatos economicos e a luta de classes sao o motor da Historia: o triunfo do proletariado e a implantacao de uma sociedade sem classes sao o objetivo final. Esse objetivo, contudo, soh sera alcancado com a unico de todos os proletarios. O texto acima refere-se ao criador do socialismo cientifico;Karl Marx;Vladimir Lenin;Saint-Simon;Pedro Kropotkin;1;
O primeiro pais a se industrializar na Europa depois da Inglaterra foi;A Franca;A Italia;A Russia;A Belgica;4;
Entre os fatores que fizeram da Inglaterra o berco propicio a eclosao da Revolucao Industrial, podemos citar os seguintes;As condicoes sociais e politicas da epoca eram favoraveis;Com a criacao do Banco da Inglaterra, essa nacao tornou-se o maior centro capitalista da Epoca;O sistema corporativo nao chegara a se enraizar desde a Idade Media;Todas as anteriores;4;
Ao contrario dos portugueses, que buscavam atingir as Indias contornando a costa africana, Colombo; concentrou suas navegacoes na parte Leste, em busca de uma passagem Noroeste para as Indias;concentrou suas navegacoes na parte Norte da America, em busca de uma passagem ao Noroeste para o continente asiatico;dirigiu-se para o Oeste em busca da passagem Sudeste para o continente asiatico;Navegou pelo Oceano Atlantico em direcao ao Canal da Mancha e Mar do Norte, seguindo as instrucoes do Rei de Portugal;1;
Diziam os mareantes, que depois desse cabo nao ha nem gente nem povoado algum: a terra nao eh menos arenosa que os desertos da Libia, onde nao ha agua, nem arvores, nem erva verde: e o mar eh tao baixo, que a uma legua da terra nao ha fundo mais que uma braca. O texto faz referencia a epoca;da Revolucao Industrial na Idade Contemporanea;das Grandes Navegacoes no inicio da Idade Media;das navegacoes fenicias;do expansionismo maritimo lusitano;4;
A esquadra enviada por D. Manuel, rei de Portugal, as Indias, sob o comando de Pedro Alvares Cabral, tinha como objetivo;combater a pirataria nas Colonias portuguesas na costa oeste da Africa;confirmar a existencia de minas de metais preciosos no sul da Asia;estabelecer uma solida relacao comercial e politica com os povos do Oriente;procurar outro caminho que conduzisse ao Oriente sem utilizar o Mediterraneo;4;
Destaca-se como resultado das descobertas e da expansao luso-espanhola nos tempos modernos a;abertura de uma nova era de navegacao e comercio, nao mais concentrada no Mediterraneo e sim no Oceano Atlantico;defesa das culturas nativas das Americas pelo Clero e pelo Estado;diminuicao do comercio entre Europa e Novo Mundo, com a hegemonia do mar Mediterraneo;formacao de novos imperios na Africa e na Asia, com a ampliacao do comercio entre os dois continentes;1;
O apoio financeiro da classe mercantil foi decisivo para o sucesso do movimento revolucionario, que faz surgir um novo Estado Nacional, mais forte e mais centralizado, e eminentemente mercantilista. O movimento revolucionario mencionado no texto e referente a Historia de Portugal esta ligado;A ascensao do Mestre de Avis ao trono portugues;A atuacao de Afonso Henrique de Borgonha, fundador do Reino de Portugal;A dominacao dos Felipes sobre Portugal;A Reconquista crista do territorio portugues aos Arabes;1;
Sobre as Navegacoes e os Descobrimentos, assinale a alternativa falsa;A Conquista de Ceuta foi o passo inicial para o inicio da expansao portuguesa;A Escola de Sagres foi um espaco para que jovens pudessem estudar e serem navegadores;A Espanha retardou a sua participacao na Expansao Maritima porque estava ainda em luta com os mouros e em processo de unificacao politica;Com os Descobrimentos, o eixo-economico transferiu-se do Mediterraneo para o Atlantico;2;
O processo de colonizacao europeia da America, durante os seculos XVI, XVII e XVIII, esta ligado a;Disseminacao do movimento cruzadista, ao crescimento do comercio com os povos orientais e a politica livre-cambista;Expansao comercial e maritima, advindas do periodo medieval com forte sentimento cristao cruzadista;Expansao comercial e maritima, ao fortalecimento das monarquias nacionais absolutas e a politica mercantilista;Politica imperialista, ao fracasso da ocupacao agricola das terras e ao crescimento do comercio bilateral. Criacao das companhias de comercio, ao desenvolvimento do modo feudal de producao e a politica liberal;3;